,Subject,maxBurst_SHA01,meanInterval_SHA01,meanNumRewards_SHA01,modeInterval_SHA01,numBurst_SHA01,pctRewards_SHA01,stdInterval_SHA01,maxBurst_SHA02,meanInterval_SHA02,meanNumRewards_SHA02,modeInterval_SHA02,numBurst_SHA02,pctRewards_SHA02,stdInterval_SHA02,maxBurst_SHA03,meanInterval_SHA03,meanNumRewards_SHA03,modeInterval_SHA03,numBurst_SHA03,pctRewards_SHA03,stdInterval_SHA03,maxBurst_SHA04,meanInterval_SHA04,meanNumRewards_SHA04,modeInterval_SHA04,numBurst_SHA04,pctRewards_SHA04,stdInterval_SHA04,maxBurst_SHA05,meanInterval_SHA05,meanNumRewards_SHA05,modeInterval_SHA05,numBurst_SHA05,pctRewards_SHA05,stdInterval_SHA05,maxBurst_SHA06,meanInterval_SHA06,meanNumRewards_SHA06,modeInterval_SHA06,numBurst_SHA06,pctRewards_SHA06,stdInterval_SHA06,maxBurst_SHA07,meanInterval_SHA07,meanNumRewards_SHA07,modeInterval_SHA07,numBurst_SHA07,pctRewards_SHA07,stdInterval_SHA07,maxBurst_SHA08,meanInterval_SHA08,meanNumRewards_SHA08,modeInterval_SHA08,numBurst_SHA08,pctRewards_SHA08,stdInterval_SHA08,maxBurst_SHA09,meanInterval_SHA09,meanNumRewards_SHA09,modeInterval_SHA09,numBurst_SHA09,pctRewards_SHA09,stdInterval_SHA09,maxBurst_SHA10,meanInterval_SHA10,meanNumRewards_SHA10,modeInterval_SHA10,numBurst_SHA10,pctRewards_SHA10,stdInterval_SHA10,maxBurst_SHA11,meanInterval_SHA11,meanNumRewards_SHA11,modeInterval_SHA11,numBurst_SHA11,pctRewards_SHA11,stdInterval_SHA11
79,F1316,0.0,,0.0,,0.0,,,4.0,216.07,3.22,20.0,9.0,94.0,856.16,3.0,230.03,2.3,100.0,10.0,72.0,303.46,2.0,348.3,2.0,236.0,1.0,10.0,145.46,2.0,302.0,2.0,139.0,3.0,25.0,162.41,2.0,291.13,2.0,177.0,2.0,17.0,155.86,2.0,246.57,2.0,178.0,1.0,7.000000000000001,110.07,2.0,245.96,2.0,31.0,5.0,34.0,134.24,2.0,213.42,2.0,293.0,5.0,28.999999999999996,134.55,3.0,212.19,2.25,247.0,4.0,27.0,127.39,,,,,,,
80,F1335,5.0,101.36,3.44,21.0,18.0,91.0,213.75,3.0,180.31,2.17,907.0,12.0,65.0,176.38,3.0,117.13,2.17,64.0,18.0,74.0,61.17,4.0,127.46,2.29,70.0,17.0,68.0,85.52,3.0,128.9,2.25,42.0,16.0,68.0,77.5,3.0,127.71,2.11,110.0,19.0,71.0,56.48,4.0,132.75,2.12,30.0,17.0,67.0,62.33,5.0,125.12,2.37,20.0,19.0,78.0,89.58,5.0,117.13,2.16,28.0,19.0,67.0,54.46,4.0,115.43,2.28,32.0,18.0,66.0,60.04,,,,,,,
81,F1401,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,2.0,2057.0,2.0,21.0,1.0,50.0,1677.7,3.0,277.29,2.29,203.0,7.0,73.0,363.52,,,,,,,
82,F1403,2.0,1526.5,2.0,70.0,1.0,67.0,1456.5,0.0,1382.67,0.0,295.0,0.0,0.0,1299.91,2.0,805.0,2.0,65.0,1.0,40.0,781.62,2.0,1091.0,2.0,73.0,1.0,50.0,1103.27,,,,,,,,2.0,566.17,2.0,47.0,4.0,62.0,668.8,3.0,565.0,2.5,41.0,2.0,38.0,839.46,2.0,1352.5,2.0,1843.0,2.0,80.0,1412.11,0.0,439.67,0.0,361.0,0.0,0.0,329.37,2.0,415.18,2.0,342.0,3.0,33.0,359.0,,,,,,,
83,F1404,0.0,,0.0,,0.0,,,2.0,94.0,2.0,94.0,1.0,100.0,0.0,2.0,834.43,2.0,21.0,1.0,25.0,738.06,2.0,750.88,2.0,1236.0,1.0,22.0,683.18,,,,,,,,3.0,388.47,2.17,46.0,6.0,72.0,395.19,3.0,421.47,2.6,30.0,5.0,72.0,642.79,3.0,479.0,2.25,22.0,4.0,69.0,556.08,2.0,761.89,2.0,469.0,2.0,40.0,605.15,4.0,102.71,2.44,36.0,25.0,87.0,98.51,,,,,,,
84,F1405,0.0,,0.0,,0.0,0.0,,2.0,53.0,2.0,53.0,1.0,100.0,0.0,4.0,304.0,3.0,29.0,4.0,80.0,628.5,3.0,251.69,2.25,72.0,8.0,67.0,235.42,,,,,,,,3.0,234.97,2.29,52.0,7.0,52.0,148.15,3.0,195.53,2.12,36.0,8.0,46.0,101.93,2.0,192.35,2.0,166.0,9.0,47.0,105.1,2.0,228.59,2.0,35.0,2.0,13.0,121.84,0.0,,0.0,,0.0,0.0,,,,,,,,
85,F1406,0.0,,0.0,,0.0,0.0,,2.0,1298.0,2.0,118.0,1.0,67.0,1180.0,0.0,3839.0,0.0,3839.0,0.0,0.0,0.0,0.0,3183.0,0.0,3183.0,0.0,0.0,0.0,,,,,,,,0.0,2605.0,0.0,2605.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,2825.0,0.0,2825.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,
86,F1407,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,,,
87,F1408,0.0,,0.0,,0.0,0.0,,0.0,1006.0,0.0,1006.0,0.0,0.0,0.0,0.0,4900.0,0.0,4900.0,0.0,0.0,0.0,2.0,2573.5,2.0,5085.0,1.0,67.0,2511.5,,,,,,,,2.0,419.1,2.0,171.0,4.0,73.0,423.41,3.0,396.94,2.2,1217.0,5.0,57.99999999999999,485.41,3.0,236.39,2.2,119.0,5.0,38.0,187.39,3.0,196.69,2.1,181.0,10.0,56.99999999999999,177.25,2.0,209.09,2.0,115.0,8.0,47.0,199.07,,,,,,,
88,F1409,0.0,129.0,0.0,129.0,0.0,0.0,0.0,0.0,2048.67,0.0,871.0,0.0,0.0,1137.75,2.0,232.15,2.0,206.0,9.0,67.0,167.85,2.0,523.69,2.0,432.0,5.0,71.0,704.32,,,,,,,,2.0,458.31,2.0,124.0,2.0,28.999999999999996,407.71,2.0,546.91,2.0,32.0,3.0,50.0,395.84,0.0,,0.0,,0.0,0.0,,0.0,2840.5,0.0,3780.0,0.0,0.0,939.5,2.0,712.8,2.0,168.0,1.0,33.0,874.89,,,,,,,
